# BUSCO version is: 5.7.1 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
42938at3193	Duplicated	ptg000015l	329392	325082	-	1025.2	485	https://www.orthodb.org/v10?query=42938at3193	CDK5RAP1-like protein
42938at3193	Duplicated	ptg000014l	2322409	2315285	-	1025.5	484	https://www.orthodb.org/v10?query=42938at3193	CDK5RAP1-like protein
43116at3193	Complete	ptg000002l	4756048	4763956	+	684.1	531	https://www.orthodb.org/v10?query=43116at3193	Armadillo-type fold
43206at3193	Complete	ptg000004l	24552284	24550058	-	962.8	566	https://www.orthodb.org/v10?query=43206at3193	pentatricopeptide repeat-containing protein At5g01110
43212at3193	Complete	ptg000037l	620041	611473	-	978.9	538	https://www.orthodb.org/v10?query=43212at3193	PPM-type phosphatase domain
43431at3193	Complete	ptg000005l	3516886	3524818	+	611.0	413	https://www.orthodb.org/v10?query=43431at3193	flap endonuclease GEN-like 1
43535at3193	Complete	ptg000028l	1758739	1720855	-	986.8	510	https://www.orthodb.org/v10?query=43535at3193	probable DNA helicase MCM9 isoform X1
43587at3193	Complete	ptg000018l	8854456	8841587	-	887.1	458	https://www.orthodb.org/v10?query=43587at3193	4-alpha-glucanotransferase
43595at3193	Complete	ptg000012l	18107863	18109633	+	920.4	458	https://www.orthodb.org/v10?query=43595at3193	pre-mRNA-processing factor 17
44042at3193	Complete	ptg000009l	23383298	23397919	+	839.2	502	https://www.orthodb.org/v10?query=44042at3193	GPI transamidase component PIG-T
44473at3193	Complete	ptg000009l	35472632	35482837	+	783.3	433	https://www.orthodb.org/v10?query=44473at3193	Dual specificity phosphatase, catalytic domain
44486at3193	Complete	ptg000014l	6596805	6600178	+	742.2	412	https://www.orthodb.org/v10?query=44486at3193	Glucose-6-phosphate 1-dehydrogenase
44542at3193	Complete	ptg000011l	17401138	17406268	+	898.2	443	https://www.orthodb.org/v10?query=44542at3193	Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial
44590at3193	Complete	ptg000026l	10256209	10258135	+	772.2	491	https://www.orthodb.org/v10?query=44590at3193	muniscin carboxy-terminal mu-like domain protein
44817at3193	Complete	ptg000018l	8579769	8578470	-	659.0	359	https://www.orthodb.org/v10?query=44817at3193	violaxanthin de-epoxidase, chloroplastic
44833at3193	Complete	ptg000029l	1278913	1290425	+	919.2	473	https://www.orthodb.org/v10?query=44833at3193	uncharacterized aarF domain-containing protein kinase At1g71810, chloroplastic isoform X1
45013at3193	Complete	ptg000014l	6424653	6418854	-	713.0	445	https://www.orthodb.org/v10?query=45013at3193	serine/threonine-protein kinase haspin homolog
45095at3193	Complete	ptg000026l	14388697	14381170	-	843.4	438	https://www.orthodb.org/v10?query=45095at3193	HAD superfamily
45207at3193	Complete	ptg000009l	22014015	22011277	-	803.9	481	https://www.orthodb.org/v10?query=45207at3193	Ubiquitin fusion degradation protein UFD1
45227at3193	Complete	ptg000002l	1906830	1902755	-	720.6	447	https://www.orthodb.org/v10?query=45227at3193	Pentatricopeptide repeat-containing protein
45375at3193	Duplicated	ptg000007l	8812213	8796746	-	1136.0	693	https://www.orthodb.org/v10?query=45375at3193	E3 ubiquitin-protein ligase HOS1
45375at3193	Duplicated	ptg000020l	18983970	18956858	-	1137.0	671	https://www.orthodb.org/v10?query=45375at3193	E3 ubiquitin-protein ligase HOS1
45799at3193	Complete	ptg000035l	730841	727085	-	931.8	462	https://www.orthodb.org/v10?query=45799at3193	methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
45818at3193	Complete	ptg000056l	1180354	1185619	+	916.3	494	https://www.orthodb.org/v10?query=45818at3193	probable LRR receptor-like serine/threonine-protein kinase At5g45780 isoform X1
46068at3193	Complete	ptg000013l	23070146	23076690	+	677.2	452	https://www.orthodb.org/v10?query=46068at3193	Mediator of RNA polymerase II transcription subunit 17
46074at3193	Duplicated	ptg000005l	1329159	1337349	+	754.5	453	https://www.orthodb.org/v10?query=46074at3193	CTLH, C-terminal LisH motif
46074at3193	Duplicated	ptg000016l	17517627	17498780	-	705.7	433	https://www.orthodb.org/v10?query=46074at3193	CTLH, C-terminal LisH motif
46145at3193	Complete	ptg000009l	37986899	37988663	+	785.2	459	https://www.orthodb.org/v10?query=46145at3193	pentatricopeptide repeat-containing protein At5g38730
46242at3193	Complete	ptg000016l	17149984	17156860	+	688.0	451	https://www.orthodb.org/v10?query=46242at3193	protein misato homolog 1 isoform X1
46320at3193	Complete	ptg000022l	17396820	17403255	+	868.4	492	https://www.orthodb.org/v10?query=46320at3193	probable plastid-lipid-associated protein 14, chloroplastic
46404at3193	Complete	ptg000028l	6377187	6379778	+	962.7	538	https://www.orthodb.org/v10?query=46404at3193	pentatricopeptide repeat-containing protein At2g03880, mitochondrial
46642at3193	Complete	ptg000029l	30806810	30801880	-	698.3	430	https://www.orthodb.org/v10?query=46642at3193	DNA polymerase epsilon subunit
46855at3193	Complete	ptg000019l	25463426	25460939	-	1005.9	672	https://www.orthodb.org/v10?query=46855at3193	pentatricopeptide repeat-containing protein At5g12100, mitochondrial
47066at3193	Complete	ptg000019l	19020218	19013704	-	910.5	535	https://www.orthodb.org/v10?query=47066at3193	pentatricopeptide repeat-containing protein At4g19890
47174at3193	Complete	ptg000032l	634486	637191	+	705.1	420	https://www.orthodb.org/v10?query=47174at3193	RAP domain
47240at3193	Complete	ptg000009l	33302957	33307497	+	919.2	482	https://www.orthodb.org/v10?query=47240at3193	2-hydroxyacyl-CoA lyase
47310at3193	Complete	ptg000003l	2374244	2371545	-	807.2	425	https://www.orthodb.org/v10?query=47310at3193	cytochrome P450 704B1
47493at3193	Complete	ptg000028l	6396703	6400674	+	934.0	465	https://www.orthodb.org/v10?query=47493at3193	glutamate--tRNA ligase, chloroplastic/mitochondrial
47494at3193	Complete	ptg000019l	11665279	11642072	-	607.0	406	https://www.orthodb.org/v10?query=47494at3193	2-succinylbenzoate--CoA ligase, chloroplastic/peroxisomal
47507at3193	Complete	ptg000009l	8703269	8710423	+	760.7	431	https://www.orthodb.org/v10?query=47507at3193	pentatricopeptide repeat-containing protein At3g59040
47597at3193	Complete	ptg000006l	9930523	9945977	+	791.4	418	https://www.orthodb.org/v10?query=47597at3193	uncharacterized aarF domain-containing protein kinase At5g05200, chloroplastic
47650at3193	Complete	ptg000018l	6039857	6048621	+	1043.9	542	https://www.orthodb.org/v10?query=47650at3193	ABC transporter B family member 28
47754at3193	Complete	ptg000007l	10577887	10569067	-	766.1	458	https://www.orthodb.org/v10?query=47754at3193	probable Ufm1-specific protease
48106at3193	Complete	ptg000009l	3527090	3533502	+	795.8	486	https://www.orthodb.org/v10?query=48106at3193	Zinc finger, CCCH-type
48428at3193	Complete	ptg000008l	1457072	1513124	+	565.9	367	https://www.orthodb.org/v10?query=48428at3193	protein RRNAD1 isoform X1
48502at3193	Complete	ptg000012l	25816919	25819175	+	942.6	577	https://www.orthodb.org/v10?query=48502at3193	Pentatricopeptide repeat-containing protein
48546at3193	Complete	ptg000024l	5086069	5054713	-	937.8	463	https://www.orthodb.org/v10?query=48546at3193	Aldehyde dehydrogenase domain
48588at3193	Complete	ptg000009l	32515480	32543830	+	678.3	451	https://www.orthodb.org/v10?query=48588at3193	nicastrin
48921at3193	Complete	ptg000026l	3982974	3977192	-	778.5	413	https://www.orthodb.org/v10?query=48921at3193	Protoporphyrinogen oxidase
49273at3193	Complete	ptg000029l	29483771	29448912	-	654.5	441	https://www.orthodb.org/v10?query=49273at3193	pentatricopeptide repeat-containing protein At3g18020
49334at3193	Complete	ptg000018l	6521131	6511874	-	877.7	439	https://www.orthodb.org/v10?query=49334at3193	cytochrome P450 97B2, chloroplastic
49491at3193	Duplicated	ptg000012l	23709707	23720793	+	765.7	522	https://www.orthodb.org/v10?query=49491at3193	Leucine-rich repeat, cysteine-containing subtype
49491at3193	Duplicated	ptg000028l	5707243	5703666	-	751.6	518	https://www.orthodb.org/v10?query=49491at3193	Leucine-rich repeat, cysteine-containing subtype
49704at3193	Complete	ptg000011l	20137259	20138912	+	676.5	423	https://www.orthodb.org/v10?query=49704at3193	pentatricopeptide repeat-containing protein At3g22670, mitochondrial
49808at3193	Complete	ptg000028l	7855395	7857680	+	805.2	457	https://www.orthodb.org/v10?query=49808at3193	4-coumarate--CoA ligase-like 1
49937at3193	Complete	ptg000007l	6084695	6087157	+	525.6	392	https://www.orthodb.org/v10?query=49937at3193	Conserved gene of unknown function 
49953at3193	Duplicated	ptg000011l	20750078	20742475	-	706.7	426	https://www.orthodb.org/v10?query=49953at3193	Light-mediated development protein DET1
49953at3193	Duplicated	ptg000032l	738383	725541	-	716.2	425	https://www.orthodb.org/v10?query=49953at3193	Light-mediated development protein DET1
50631at3193	Fragmented	ptg000009l	6706583	6697338	-	527.7	303	https://www.orthodb.org/v10?query=50631at3193	RNA helicase
50679at3193	Complete	ptg000019l	20581393	20594515	+	785.4	517	https://www.orthodb.org/v10?query=50679at3193	glyoxysomal processing protease, glyoxysomal
50762at3193	Complete	ptg000011l	14656080	14648480	-	906.6	522	https://www.orthodb.org/v10?query=50762at3193	AP-5 complex subunit mu
51046at3193	Complete	ptg000019l	12120673	12122668	+	1073.6	592	https://www.orthodb.org/v10?query=51046at3193	pentatricopeptide repeat-containing protein At4g20090
51155at3193	Complete	ptg000011l	13930580	13939037	+	775.4	436	https://www.orthodb.org/v10?query=51155at3193	Anaphase-promoting complex subunit 7
51348at3193	Complete	ptg000024l	1503824	1485317	-	1143.9	557	https://www.orthodb.org/v10?query=51348at3193	kelch domain-containing protein 4
51536at3193	Complete	ptg000028l	7651314	7642237	-	779.2	440	https://www.orthodb.org/v10?query=51536at3193	sphingosine-1-phosphate lyase
51562at3193	Complete	ptg000032l	3309063	3320425	+	784.7	418	https://www.orthodb.org/v10?query=51562at3193	Cryptochrome/DNA photolyase, FAD-binding domain
51745at3193	Complete	ptg000026l	9610805	9645737	+	1963.5	1590	https://www.orthodb.org/v10?query=51745at3193	uncharacterized protein At3g06530
51750at3193	Complete	ptg000024l	2662935	2675843	+	580.6	313	https://www.orthodb.org/v10?query=51750at3193	JmjC domain
51868at3193	Complete	ptg000024l	1678683	1667820	-	1073.6	580	https://www.orthodb.org/v10?query=51868at3193	pentatricopeptide repeat-containing protein At5g50280, chloroplastic
52194at3193	Complete	ptg000004l	28160973	28168728	+	641.3	362	https://www.orthodb.org/v10?query=52194at3193	Lysine--tRNA ligase
52234at3193	Complete	ptg000028l	9654380	9637159	-	557.0	387	https://www.orthodb.org/v10?query=52234at3193	Protein kinase domain
52464at3193	Complete	ptg000029l	4602352	4611093	+	914.0	442	https://www.orthodb.org/v10?query=52464at3193	Conserved oligomeric Golgi complex subunit 8
52497at3193	Complete	ptg000009l	34259945	34255185	-	818.6	425	https://www.orthodb.org/v10?query=52497at3193	ATPase, AAA-type, conserved site
52743at3193	Complete	ptg000009l	36254137	36252115	-	809.7	495	https://www.orthodb.org/v10?query=52743at3193	Transmembrane protein
52804at3193	Complete	ptg000004l	7752110	7757249	+	731.1	428	https://www.orthodb.org/v10?query=52804at3193	Alpha-1,3-glucosyltransferase
52837at3193	Complete	ptg000013l	12284271	12212453	-	801.6	433	https://www.orthodb.org/v10?query=52837at3193	putative methyltransferase NSUN6
52839at3193	Complete	ptg000029l	34928493	34870046	-	549.8	357	https://www.orthodb.org/v10?query=52839at3193	N-lysine methyltransferase
52897at3193	Duplicated	ptg000007l	4769376	4759099	-	1091.5	579	https://www.orthodb.org/v10?query=52897at3193	Translation initiation factor IF-2
52897at3193	Duplicated	ptg000020l	7918273	7914284	-	1088.6	579	https://www.orthodb.org/v10?query=52897at3193	Translation initiation factor IF-2
53003at3193	Complete	ptg000008l	3947723	3916656	-	888.4	588	https://www.orthodb.org/v10?query=53003at3193	nucleolar complex protein 3 homolog
53100at3193	Complete	ptg000020l	6853579	6849693	-	524.2	303	https://www.orthodb.org/v10?query=53100at3193	Mitochondrial carrier domain superfamily
53517at3193	Complete	ptg000020l	11103267	11105082	+	888.4	512	https://www.orthodb.org/v10?query=53517at3193	Pentatricopeptide repeat-containing protein
53741at3193	Complete	ptg000012l	25371470	25374850	+	915.3	440	https://www.orthodb.org/v10?query=53741at3193	cytochrome c biogenesis protein CCS1, chloroplastic
53767at3193	Complete	ptg000019l	12338010	12358111	+	900.3	465	https://www.orthodb.org/v10?query=53767at3193	NAD(P)-binding domain
53773at3193	Complete	ptg000014l	7115691	7109243	-	853.2	451	https://www.orthodb.org/v10?query=53773at3193	ATP-dependent DNA helicase
54177at3193	Complete	ptg000028l	4740575	4745479	+	1017.2	522	https://www.orthodb.org/v10?query=54177at3193	tRNA-dihydrouridine(47) synthase 
54535at3193	Complete	ptg000014l	6668317	6665959	-	822.4	486	https://www.orthodb.org/v10?query=54535at3193	putative pentatricopeptide repeat-containing protein At1g56570
54563at3193	Complete	ptg000006l	7901277	7908134	+	846.1	447	https://www.orthodb.org/v10?query=54563at3193	methionine--tRNA ligase, chloroplastic/mitochondrial
54569at3193	Complete	ptg000005l	18102705	18117396	+	889.6	463	https://www.orthodb.org/v10?query=54569at3193	protein high chlorophyll fluorescent 107
54696at3193	Complete	ptg000005l	9085573	9090229	+	710.6	438	https://www.orthodb.org/v10?query=54696at3193	transcription factor 25
54799at3193	Complete	ptg000022l	18649965	18644334	-	905.5	437	https://www.orthodb.org/v10?query=54799at3193	Proline-tRNA ligase, class IIa
54811at3193	Complete	ptg000007l	378017	421602	+	689.9	406	https://www.orthodb.org/v10?query=54811at3193	RNA (C5-cytosine) methyltransferase
54858at3193	Complete	ptg000013l	26115440	26119150	+	958.8	481	https://www.orthodb.org/v10?query=54858at3193	WD40-repeat-containing domain
54907at3193	Complete	ptg000012l	3811600	3823452	+	646.8	411	https://www.orthodb.org/v10?query=54907at3193	histone-lysine N-methyltransferase ASHR1
54931at3193	Complete	ptg000020l	15036579	15043292	+	1254.2	712	https://www.orthodb.org/v10?query=54931at3193	DNA repair endonuclease UVH1
55141at3193	Complete	ptg000014l	1226299	1222345	-	730.5	428	https://www.orthodb.org/v10?query=55141at3193	DNA-(apurinic or apyrimidinic site) lyase 2 isoform X1
55426at3193	Complete	ptg000005l	22659139	22655975	-	1053.9	628	https://www.orthodb.org/v10?query=55426at3193	Protein transport protein SEC23
55477at3193	Complete	ptg000004l	3874876	3873376	-	590.8	334	https://www.orthodb.org/v10?query=55477at3193	Glycosyltransferase, CAZy family GT4
55581at3193	Complete	ptg000009l	3084072	3079266	-	549.3	390	https://www.orthodb.org/v10?query=55581at3193	tRNA(Ile)-lysidine synthase, N-terminal
55863at3193	Complete	ptg000012l	23146656	23160155	+	748.3	464	https://www.orthodb.org/v10?query=55863at3193	Chloride channel protein
56051at3193	Duplicated	ptg000009l	37477136	37474957	-	687.2	372	https://www.orthodb.org/v10?query=56051at3193	C-type lectin-like
56051at3193	Duplicated	ptg000018l	771441	783076	+	679.3	368	https://www.orthodb.org/v10?query=56051at3193	C-type lectin-like
56205at3193	Complete	ptg000002l	4064861	4074477	+	684.3	423	https://www.orthodb.org/v10?query=56205at3193	ceramide kinase isoform X1
56251at3193	Complete	ptg000009l	31654868	31649352	-	735.5	399	https://www.orthodb.org/v10?query=56251at3193	ultraviolet-B receptor UVR8
56324at3193	Complete	ptg000029l	4612646	4618368	+	701.3	406	https://www.orthodb.org/v10?query=56324at3193	S-adenosyl-L-methionine-dependent methyltransferase
56328at3193	Complete	ptg000004l	7311746	7306461	-	834.7	411	https://www.orthodb.org/v10?query=56328at3193	protein DAMAGED DNA-BINDING 2
56338at3193	Complete	ptg000013l	3106494	3113908	+	905.9	476	https://www.orthodb.org/v10?query=56338at3193	FAD/NAD(P)-binding domain superfamily
56560at3193	Complete	ptg000028l	2954608	2959925	+	810.1	437	https://www.orthodb.org/v10?query=56560at3193	thiamine biosynthetic bifunctional enzyme TH1, chloroplastic
56606at3193	Complete	ptg000031l	479232	513660	+	805.8	442	https://www.orthodb.org/v10?query=56606at3193	Leucine-rich repeat
56690at3193	Complete	ptg000026l	9782106	9750585	-	742.1	430	https://www.orthodb.org/v10?query=56690at3193	Mannosyltransferase
56819at3193	Complete	ptg000008l	6606806	6630678	+	785.4	416	https://www.orthodb.org/v10?query=56819at3193	succinate-semialdehyde dehydrogenase, mitochondrial
56881at3193	Complete	ptg000011l	16371647	16357035	-	541.3	345	https://www.orthodb.org/v10?query=56881at3193	Rhodanese-like domain
56979at3193	Complete	ptg000011l	1700606	1698776	-	922.2	536	https://www.orthodb.org/v10?query=56979at3193	pentatricopeptide repeat-containing protein At4g14050, mitochondrial
57149at3193	Complete	ptg000004l	1392403	1402020	+	753.3	469	https://www.orthodb.org/v10?query=57149at3193	probable protein arginine N-methyltransferase 3
57296at3193	Complete	ptg000009l	22379079	22384857	+	610.5	377	https://www.orthodb.org/v10?query=57296at3193	embryo defective 1381
57372at3193	Complete	ptg000009l	31852270	31842878	-	633.1	436	https://www.orthodb.org/v10?query=57372at3193	kanadaptin
57821at3193	Complete	ptg000004l	3440322	3451179	+	612.2	281	https://www.orthodb.org/v10?query=57821at3193	Kelch repeat type 1
57933at3193	Complete	ptg000023l	4836833	4844489	+	802.0	521	https://www.orthodb.org/v10?query=57933at3193	RimM, N-terminal
57984at3193	Complete	ptg000010l	4894429	4878468	-	590.9	314	https://www.orthodb.org/v10?query=57984at3193	Violaxanthin de-epoxidase
58192at3193	Complete	ptg000027l	1518484	1507644	-	922.0	477	https://www.orthodb.org/v10?query=58192at3193	prolycopene isomerase, chloroplastic
58217at3193	Complete	ptg000034l	2909191	2907118	-	936.6	590	https://www.orthodb.org/v10?query=58217at3193	pentatricopeptide repeat-containing protein At3g09060
58430at3193	Complete	ptg000005l	21110382	21119899	+	801.4	438	https://www.orthodb.org/v10?query=58430at3193	Eukaryotic translation initiation factor 2A
58451at3193	Complete	ptg000007l	2031367	2032675	+	557.7	353	https://www.orthodb.org/v10?query=58451at3193	putative pentatricopeptide repeat-containing protein At3g15200
58480at3193	Complete	ptg000009l	19142303	19140401	-	752.8	449	https://www.orthodb.org/v10?query=58480at3193	pentatricopeptide repeat-containing protein At1g03540
58847at3193	Complete	ptg000019l	12093818	12108570	+	704.9	374	https://www.orthodb.org/v10?query=58847at3193	Rubisco LSMT, substrate-binding domain
59153at3193	Complete	ptg000030l	2366515	2372649	+	645.3	364	https://www.orthodb.org/v10?query=59153at3193	Fungal lipase-like domain
59251at3193	Complete	ptg000013l	131132	133385	+	695.9	367	https://www.orthodb.org/v10?query=59251at3193	pentatricopeptide repeat-containing protein At4g39620, chloroplastic
59331at3193	Complete	ptg000004l	5341230	5337490	-	650.6	448	https://www.orthodb.org/v10?query=59331at3193	poly(A)-specific ribonuclease PARN-like
59418at3193	Complete	ptg000009l	551198	545775	-	579.5	326	https://www.orthodb.org/v10?query=59418at3193	tRNA (guanine(37)-N1)-methyltransferase
59555at3193	Complete	ptg000026l	9600362	9595298	-	784.9	382	https://www.orthodb.org/v10?query=59555at3193	WD40/YVTN repeat-like-containing domain superfamily
59621at3193	Complete	ptg000020l	3241579	3232344	-	736.5	474	https://www.orthodb.org/v10?query=59621at3193	Leucine-rich repeat
59659at3193	Complete	ptg000024l	7090504	7088110	-	963.6	549	https://www.orthodb.org/v10?query=59659at3193	pentatricopeptide repeat-containing protein At4g01570
59885at3193	Complete	ptg000009l	27601842	27603363	+	693.5	405	https://www.orthodb.org/v10?query=59885at3193	pentatricopeptide repeat-containing protein At2g13420, mitochondrial-like
60079at3193	Complete	ptg000020l	3642374	3649524	+	527.7	304	https://www.orthodb.org/v10?query=60079at3193	non-canonical poly(A) RNA polymerase PAPD5
60224at3193	Complete	ptg000002l	392890	400532	+	942.2	447	https://www.orthodb.org/v10?query=60224at3193	threonylcarbamoyladenosine tRNA methylthiotransferase
60384at3193	Complete	ptg000021l	950499	957271	+	744.1	462	https://www.orthodb.org/v10?query=60384at3193	Metal-dependent hydrolase
60445at3193	Fragmented	ptg000004l	27573771	27561276	-	485.5	469	https://www.orthodb.org/v10?query=60445at3193	K Homology domain
60563at3193	Complete	ptg000004l	25533602	25579233	+	914.8	455	https://www.orthodb.org/v10?query=60563at3193	GTPase Der
60794at3193	Complete	ptg000004l	27588266	27584029	-	550.5	358	https://www.orthodb.org/v10?query=60794at3193	GPI mannosyltransferase 2
60903at3193	Complete	ptg000005l	19460915	19468003	+	856.2	413	https://www.orthodb.org/v10?query=60903at3193	probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
61155at3193	Complete	ptg000028l	431550	405207	-	564.4	453	https://www.orthodb.org/v10?query=61155at3193	Myosin heavy chain-like protein
61358at3193	Complete	ptg000011l	260300	236414	-	623.1	349	https://www.orthodb.org/v10?query=61358at3193	Protein arginine methyltransferase NDUFAF7
61517at3193	Complete	ptg000026l	5382083	5395082	+	553.0	341	https://www.orthodb.org/v10?query=61517at3193	putative tRNA pseudouridine synthase Pus10
61714at3193	Complete	ptg000021l	21086036	21098337	+	665.1	343	https://www.orthodb.org/v10?query=61714at3193	tRNA-specific 2-thiouridylase
61850at3193	Complete	ptg000009l	28966841	28955327	-	1128.0	620	https://www.orthodb.org/v10?query=61850at3193	Cleavage and polyadenylation specificity factor subunit 2
61944at3193	Complete	ptg000022l	5266465	5271391	+	681.5	406	https://www.orthodb.org/v10?query=61944at3193	chloroplast sensor kinase, chloroplastic
62081at3193	Complete	ptg000012l	20924795	20931134	+	848.1	456	https://www.orthodb.org/v10?query=62081at3193	ATPase, AAA-type, conserved site
62306at3193	Complete	ptg000021l	15668411	15666878	-	723.6	419	https://www.orthodb.org/v10?query=62306at3193	DEAD-box ATP-dependent RNA helicase 41
62651at3193	Complete	ptg000009l	623807	609918	-	793.3	391	https://www.orthodb.org/v10?query=62651at3193	fe-S cluster assembly factor HCF101, chloroplastic
62699at3193	Complete	ptg000007l	9027264	9038558	+	940.4	531	https://www.orthodb.org/v10?query=62699at3193	pentatricopeptide repeat-containing protein At4g16835, mitochondrial
62741at3193	Complete	ptg000026l	13284896	13282703	-	830.0	644	https://www.orthodb.org/v10?query=62741at3193	Myosin heavy chain-related protein
62778at3193	Complete	ptg000007l	1742650	1738664	-	748.3	421	https://www.orthodb.org/v10?query=62778at3193	ultraviolet-B receptor UVR8
63082at3193	Complete	ptg000029l	4763258	4761352	-	871.8	390	https://www.orthodb.org/v10?query=63082at3193	UDP-sulfoquinovose synthase, chloroplastic
63156at3193	Complete	ptg000002l	935719	893364	-	531.1	417	https://www.orthodb.org/v10?query=63156at3193	aberrant root formation protein 4
63167at3193	Complete	ptg000006l	5612993	5617805	+	645.3	403	https://www.orthodb.org/v10?query=63167at3193	Ankyrin repeat-containing domain
63302at3193	Complete	ptg000034l	582099	579536	-	738.1	378	https://www.orthodb.org/v10?query=63302at3193	serine/threonine-protein kinase STN8, chloroplastic
63493at3193	Complete	ptg000012l	21141905	21149818	+	984.5	643	https://www.orthodb.org/v10?query=63493at3193	nucleolar protein 14
63577at3193	Complete	ptg000009l	5878524	5884207	+	768.5	407	https://www.orthodb.org/v10?query=63577at3193	aldehyde dehydrogenase family 7 member A1
63615at3193	Complete	ptg000001l	2531307	2533023	+	782.7	423	https://www.orthodb.org/v10?query=63615at3193	pentatricopeptide repeat-containing protein At1g73400, mitochondrial
63780at3193	Complete	ptg000029l	508903	494725	-	888.3	452	https://www.orthodb.org/v10?query=63780at3193	serine/threonine-protein kinase STN7, chloroplastic
63805at3193	Complete	ptg000022l	18515677	18509625	-	624.3	395	https://www.orthodb.org/v10?query=63805at3193	DNA-directed primase/polymerase protein
63808at3193	Complete	ptg000009l	34003800	34000660	-	790.2	540	https://www.orthodb.org/v10?query=63808at3193	pentatricopeptide repeat-containing protein At5g14080
64104at3193	Complete	ptg000012l	18738564	18755146	+	628.1	371	https://www.orthodb.org/v10?query=64104at3193	DEAD-box ATP-dependent RNA helicase 22
64471at3193	Complete	ptg000014l	790471	795650	+	645.4	441	https://www.orthodb.org/v10?query=64471at3193	cell cycle checkpoint protein RAD17 isoform X1
64632at3193	Complete	ptg000004l	2323328	2309130	-	587.3	378	https://www.orthodb.org/v10?query=64632at3193	protein VASCULAR ASSOCIATED DEATH 1, chloroplastic
64817at3193	Complete	ptg000019l	15301077	15299124	-	851.7	513	https://www.orthodb.org/v10?query=64817at3193	pentatricopeptide repeat-containing protein At5g44230
64833at3193	Complete	ptg000037l	2717064	2719585	+	531.5	374	https://www.orthodb.org/v10?query=64833at3193	putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog
64856at3193	Complete	ptg000026l	13586665	13581648	-	742.7	364	https://www.orthodb.org/v10?query=64856at3193	Aspartate aminotransferase
64974at3193	Complete	ptg000009l	759332	749741	-	1269.9	745	https://www.orthodb.org/v10?query=64974at3193	DNA mismatch repair protein MSH7
65268at3193	Complete	ptg000009l	37572851	37582776	+	776.5	414	https://www.orthodb.org/v10?query=65268at3193	eukaryotic translation initiation factor 2D
65741at3193	Complete	ptg000018l	5295155	5248198	-	619.1	403	https://www.orthodb.org/v10?query=65741at3193	putative nitric oxide synthase
66247at3193	Complete	ptg000032l	2254057	2246005	-	774.3	411	https://www.orthodb.org/v10?query=66247at3193	23S rRNA (Uracil(1939)-C(5))-methyltransferase RlmD
66400at3193	Duplicated	ptg000023l	272206	278954	+	666.4	427	https://www.orthodb.org/v10?query=66400at3193	uncharacterized protein At4g19900
66400at3193	Duplicated	ptg000019l	19025802	19021693	-	658.3	425	https://www.orthodb.org/v10?query=66400at3193	uncharacterized protein At4g19900
66547at3193	Complete	ptg000020l	8981083	8985846	+	681.5	393	https://www.orthodb.org/v10?query=66547at3193	methyltransferase-like protein 17, mitochondrial
67201at3193	Complete	ptg000016l	11086766	11070560	-	750.6	401	https://www.orthodb.org/v10?query=67201at3193	Alpha/Beta hydrolase fold
67266at3193	Complete	ptg000016l	18904736	18910433	+	996.1	496	https://www.orthodb.org/v10?query=67266at3193	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
67313at3193	Complete	ptg000006l	9002322	8990948	-	882.3	606	https://www.orthodb.org/v10?query=67313at3193	nuclear pore complex protein NUP88
67480at3193	Duplicated	ptg000002l	2314611	2330015	+	831.3	414	https://www.orthodb.org/v10?query=67480at3193	Tocopherol cyclase
67480at3193	Duplicated	ptg000026l	11592219	11584359	-	807.9	414	https://www.orthodb.org/v10?query=67480at3193	Tocopherol cyclase
67617at3193	Complete	ptg000009l	23512965	23497523	-	703.4	419	https://www.orthodb.org/v10?query=67617at3193	GPI transamidase component PIG-S
67674at3193	Complete	ptg000011l	6798864	6815571	+	703.7	386	https://www.orthodb.org/v10?query=67674at3193	UDP-glycosyltransferase TURAN
67893at3193	Complete	ptg000009l	25885770	25879391	-	402.6	303	https://www.orthodb.org/v10?query=67893at3193	ubiquitin carboxyl-terminal hydrolase 27
67959at3193	Complete	ptg000004l	11677122	11672332	-	709.5	457	https://www.orthodb.org/v10?query=67959at3193	transmembrane protein 209
68087at3193	Complete	ptg000020l	4269621	4266209	-	712.3	427	https://www.orthodb.org/v10?query=68087at3193	Mannosyltransferase
68203at3193	Complete	ptg000009l	36201908	36197132	-	700.9	362	https://www.orthodb.org/v10?query=68203at3193	Protein arginine methyltransferase NDUFAF7
68266at3193	Complete	ptg000019l	23409373	23413891	+	718.9	434	https://www.orthodb.org/v10?query=68266at3193	CDK5RAP3-like protein
68623at3193	Complete	ptg000009l	2076033	2070858	-	683.8	377	https://www.orthodb.org/v10?query=68623at3193	tRNA A64-2'-O-ribosylphosphate transferase
68670at3193	Complete	ptg000007l	19163214	19198243	+	799.6	519	https://www.orthodb.org/v10?query=68670at3193	ubiquitin carboxyl-terminal hydrolase 25
